Year,AC_Name,PC_Name,Party,Votes,Position
2009,Mekliganj,Jalpaiguri,CPM,64852.0,Winner
2009,Mekliganj,Jalpaiguri,INC,53748.0,Runner-Up
2009,Mekliganj,Jalpaiguri,Others,15301.0,Others
2011,MEKLIGANJ,Jalpaiguri,AIFB,72040.0,Winner
2011,MEKLIGANJ,Jalpaiguri,INC,39408.0,Runner-Up
2011,MEKLIGANJ,Jalpaiguri,Others,35909.0,Others
2014,Mekliganj,Jalpaiguri,CPM,62952.0,Winner
2014,Mekliganj,Jalpaiguri,AITC,60897.0,Runner-Up
2014,Mekliganj,Jalpaiguri,Others,38200.0,Others
2016,MEKLIGANJ,Jalpaiguri,AITC,74823.0,Winner
2016,MEKLIGANJ,Jalpaiguri,AIFB,68186.0,Runner-Up
2016,MEKLIGANJ,Jalpaiguri,Others,37951.0,Others
2019,Mekliganj,Jalpaiguri,BJP,87140.0,Winner
2019,Mekliganj,Jalpaiguri,AITC,82435.0,Runner-Up
2019,Mekliganj,Jalpaiguri,Others,19468.0,Others
2021,MEKLIGANJ,Jalpaiguri,AITC,99338.0,Winner
2021,MEKLIGANJ,Jalpaiguri,BJP,84653.0,Runner-Up
2021,MEKLIGANJ,Jalpaiguri,Others,14753.0,Others
2024,Mekliganj,Jalpaiguri,AITC,94842.0,Winner
2024,Mekliganj,Jalpaiguri,BJP,92024.0,Runner-Up
2024,Mekliganj,Jalpaiguri,Others,11428.0,Others
2009,Mathabhanga,Cooch behar,AITC,66876.0,Winner
2009,Mathabhanga,Cooch behar,AIFB,65458.0,Runner-Up
2009,Mathabhanga,Cooch behar,Others,20851.0,Others
2011,MATHABHANGA,Coochbehar,AITC,78249.0,Winner
2011,MATHABHANGA,Coochbehar,CPM,72925.0,Runner-Up
2011,MATHABHANGA,Coochbehar,Others,17260.0,Others
2014,Mathabhanga,Cooch behar,AITC,77337.0,Winner
2014,Mathabhanga,Cooch behar,AIFB,58026.0,Runner-Up
2014,Mathabhanga,Cooch behar,Others,47248.0,Others
2016,MATHABHANGA,Coochbehar,AITC,96383.0,Winner
2016,MATHABHANGA,Coochbehar,CPM,64465.0,Runner-Up
2016,MATHABHANGA,Coochbehar,Others,39537.0,Others
2019,Mathabhanga,Cooch behar,BJP,107063.0,Winner
2019,Mathabhanga,Cooch behar,AITC,86188.0,Runner-Up
2019,Mathabhanga,Cooch behar,Others,14112.0,Others
2021,MATHABHANGA,Coochbehar,BJP,113249.0,Winner
2021,MATHABHANGA,Coochbehar,AITC,87115.0,Runner-Up
2021,MATHABHANGA,Coochbehar,Others,13839.0,Others
2024,Mathabhanga,Coochbehar,BJP,110612.0,Winner
2024,Mathabhanga,Coochbehar,AITC,99974.0,Runner-Up
2024,Mathabhanga,Coochbehar,Others,9171.0,Others
2009,Cooch behar Uttar,Cooch behar,AIFB,73934.0,Winner
2009,Cooch behar Uttar,Cooch behar,AITC,69057.0,Runner-Up
2009,Cooch behar Uttar,Cooch behar,Others,28616.0,Others
2011,COOCH BEHAR UTTAR,Coochbehar,AIFB,84825.0,Winner
2011,COOCH BEHAR UTTAR,Coochbehar,AITC,82628.0,Runner-Up
2011,COOCH BEHAR UTTAR,Coochbehar,Others,20579.0,Others
2014,Cooch Behar Uttar,Cooch behar,AITC,71737.0,Winner
2014,Cooch Behar Uttar,Cooch behar,AIFB,69834.0,Runner-Up
2014,Cooch Behar Uttar,Cooch behar,Others,63730.0,Others
2016,COOCH BEHAR UTTAR,Coochbehar,AIFB,97629.0,Winner
2016,COOCH BEHAR UTTAR,Coochbehar,AITC,85336.0,Runner-Up
2016,COOCH BEHAR UTTAR,Coochbehar,Others,40806.0,Others
2019,COOCHBEHAR UTTAR,Cooch behar,BJP,118606.0,Winner
2019,COOCHBEHAR UTTAR,Cooch behar,AITC,91380.0,Runner-Up
2019,COOCHBEHAR UTTAR,Cooch behar,Others,21335.0,Others
2021,COOCH BEHAR UTTAR,Coochbehar,BJP,120483.0,Winner
2021,COOCH BEHAR UTTAR,Coochbehar,AITC,105868.0,Runner-Up
2021,COOCH BEHAR UTTAR,Coochbehar,Others,17565.0,Others
2024,COOCHBEHAR UTTAR,Coochbehar,BJP,123859.0,Winner
2024,COOCHBEHAR UTTAR,Coochbehar,AITC,105870.0,Runner-Up
2024,COOCHBEHAR UTTAR,Coochbehar,Others,12972.0,Others
2009,Cooch behar Dakshin,Cooch behar,AIFB,60893.0,Winner
2009,Cooch behar Dakshin,Cooch behar,AITC,55631.0,Runner-Up
2009,Cooch behar Dakshin,Cooch behar,Others,20196.0,Others
2011,COOCH BEHAR DAKSHIN,Coochbehar,AIFB,72028.0,Winner
2011,COOCH BEHAR DAKSHIN,Coochbehar,AITC,69165.0,Runner-Up
2011,COOCH BEHAR DAKSHIN,Coochbehar,Others,11922.0,Others
2014,Cooch Behar Dakshin,Cooch behar,AITC,61737.0,Winner
2014,Cooch Behar Dakshin,Cooch behar,AIFB,51689.0,Runner-Up
2014,Cooch Behar Dakshin,Cooch behar,Others,47454.0,Others
2016,COOCH BEHAR DAKSHIN,Coochbehar,AITC,82849.0,Winner
2016,COOCH BEHAR DAKSHIN,Coochbehar,AIFB,64654.0,Runner-Up
2016,COOCH BEHAR DAKSHIN,Coochbehar,Others,31670.0,Others
2019,Cooch Behar Dakshin,Cooch behar,BJP,86431.0,Winner
2019,Cooch Behar Dakshin,Cooch behar,AITC,80410.0,Runner-Up
2019,Cooch Behar Dakshin,Cooch behar,Others,15914.0,Others
2021,COOCH BEHAR DAKSHIN,Coochbehar,BJP,91560.0,Winner
2021,COOCH BEHAR DAKSHIN,Coochbehar,AITC,86629.0,Runner-Up
2021,COOCH BEHAR DAKSHIN,Coochbehar,Others,17316.0,Others
2024,Cooch Behar Dakshin,Coochbehar,AITC,95092.0,Winner
2024,Cooch Behar Dakshin,Coochbehar,BJP,87383.0,Runner-Up
2024,Cooch Behar Dakshin,Coochbehar,Others,10401.0,Others
2009,Sitalkuchi,Cooch behar,AIFB,80764.0,Winner
2009,Sitalkuchi,Cooch behar,AITC,75773.0,Runner-Up
2009,Sitalkuchi,Cooch behar,Others,19309.0,Others
2011,SITALKUCHI,Coochbehar,AITC,84651.0,Winner
2011,SITALKUCHI,Coochbehar,CPM,84394.0,Runner-Up
2011,SITALKUCHI,Coochbehar,Others,22408.0,Others
2014,Sitalkuchi,Cooch behar,AITC,89951.0,Winner
2014,Sitalkuchi,Cooch behar,AIFB,66316.0,Runner-Up
2014,Sitalkuchi,Cooch behar,Others,52196.0,Others
2016,SITALKUCHI,Coochbehar,AITC,101647.0,Winner
2016,SITALKUCHI,Coochbehar,CPM,86164.0,Runner-Up
2016,SITALKUCHI,Coochbehar,Others,42266.0,Others
2019,Sitalkuchi,Cooch behar,AITC,109771.0,Winner
2019,Sitalkuchi,Cooch behar,BJP,108541.0,Runner-Up
2019,Sitalkuchi,Cooch behar,Others,18669.0,Others
2021,SITALKUCHI,Coochbehar,BJP,124955.0,Winner
2021,SITALKUCHI,Coochbehar,AITC,107140.0,Runner-Up
2021,SITALKUCHI,Coochbehar,Others,13871.0,Others
2024,Sitalkuchi,Coochbehar,AITC,129633.0,Winner
2024,Sitalkuchi,Coochbehar,BJP,113357.0,Runner-Up
2024,Sitalkuchi,Coochbehar,Others,11257.0,Others
2009,Sitai,Cooch behar,AIFB,73579.0,Winner
2009,Sitai,Cooch behar,AITC,62929.0,Runner-Up
2009,Sitai,Cooch behar,Others,20227.0,Others
2011,SITAI,Coochbehar,INC,79791.0,Winner
2011,SITAI,Coochbehar,AIFB,78214.0,Runner-Up
2011,SITAI,Coochbehar,Others,12957.0,Others
2014,Sitai,Cooch behar,AITC,72239.0,Winner
2014,Sitai,Cooch behar,AIFB,59910.0,Runner-Up
2014,Sitai,Cooch behar,Others,58880.0,Others
2016,SITAI,Coochbehar,AITC,103410.0,Winner
2016,SITAI,Coochbehar,INC,78159.0,Runner-Up
2016,SITAI,Coochbehar,Others,36657.0,Others
2019,Sitai,Cooch behar,AITC,123130.0,Winner
2019,Sitai,Cooch behar,BJP,88469.0,Runner-Up
2019,Sitai,Cooch behar,Others,13344.0,Others
2021,SITAI,Coochbehar,AITC,117908.0,Winner
2021,SITAI,Coochbehar,BJP,107796.0,Runner-Up
2021,SITAI,Coochbehar,Others,12874.0,Others
2024,Sitai,Coochbehar,AITC,128189.0,Winner
2024,Sitai,Coochbehar,BJP,99812.0,Runner-Up
2024,Sitai,Coochbehar,Others,8593.0,Others
2009,Dinhata,Cooch behar,AIFB,81761.0,Winner
2009,Dinhata,Cooch behar,AITC,64898.0,Runner-Up
2009,Dinhata,Cooch behar,Others,20913.0,Others
2011,DINHATA,Coochbehar,AIFB,93050.0,Winner
2011,DINHATA,Coochbehar,IND,63024.0,Runner-Up
2011,DINHATA,Coochbehar,Others,28110.0,Others
2014,Dinhata,Cooch behar,AITC,81358.0,Winner
2014,Dinhata,Cooch behar,AIFB,73180.0,Runner-Up
2014,Dinhata,Cooch behar,Others,44650.0,Others
2016,DINHATA,Coochbehar,AITC,100732.0,Winner
2016,DINHATA,Coochbehar,AIFB,78939.0,Runner-Up
2016,DINHATA,Coochbehar,Others,43966.0,Others
2019,Dinhata,Cooch behar,BJP,114981.0,Winner
2019,Dinhata,Cooch behar,AITC,99442.0,Runner-Up
2019,Dinhata,Cooch behar,Others,16051.0,Others
2021,DINHATA,Coochbehar,BJP,116035.0,Winner
2021,DINHATA,Coochbehar,AITC,115978.0,Runner-Up
2021,DINHATA,Coochbehar,Others,11738.0,Others
2021,DINHATA,Coochbehar,BJP,116035.0,Winner
2021,DINHATA,Coochbehar,BJP,25486.0,Runner-Up
2021,DINHATA,Coochbehar,Others,102230.0,Others
2021,DINHATA,Coochbehar,AITC,189575.0,Winner
2021,DINHATA,Coochbehar,AITC,115978.0,Runner-Up
2021,DINHATA,Coochbehar,AITC,189575.0,Winner
2021,DINHATA,Coochbehar,BJP,25486.0,Runner-Up
2021,DINHATA,Coochbehar,Others,10225.0,Others
2024,Dinhata,Coochbehar,AITC,123072.0,Winner
2024,Dinhata,Coochbehar,BJP,105058.0,Runner-Up
2024,Dinhata,Coochbehar,Others,7792.0,Others
2009,Natabari,Cooch behar,AITC,71205.0,Winner
2009,Natabari,Cooch behar,AIFB,62918.0,Runner-Up
2009,Natabari,Cooch behar,Others,23285.0,Others
2011,NATABARI,Coochbehar,AITC,81951.0,Winner
2011,NATABARI,Coochbehar,CPM,74386.0,Runner-Up
2011,NATABARI,Coochbehar,Others,15959.0,Others
2014,Natabari,Cooch behar,AITC,70916.0,Winner
2014,Natabari,Cooch behar,AIFB,59032.0,Runner-Up
2014,Natabari,Cooch behar,Others,51713.0,Others
2016,NATABARI,Coochbehar,AITC,93257.0,Winner
2016,NATABARI,Coochbehar,CPM,77100.0,Runner-Up
2016,NATABARI,Coochbehar,Others,29240.0,Others
2019,Natabari,Cooch behar,BJP,104543.0,Winner
2019,Natabari,Cooch behar,AITC,86018.0,Runner-Up
2019,Natabari,Cooch behar,Others,15954.0,Others
2021,NATABARI,Coochbehar,BJP,111743.0,Winner
2021,NATABARI,Coochbehar,AITC,88303.0,Runner-Up
2021,NATABARI,Coochbehar,Others,17127.0,Others
2024,Natabari,Coochbehar,BJP,105063.0,Winner
2024,Natabari,Coochbehar,AITC,103917.0,Runner-Up
2024,Natabari,Coochbehar,Others,9261.0,Others
2009,Tufanganj,Alipurduars,RSP,59487.0,Winner
2009,Tufanganj,Alipurduars,AITC,56789.0,Runner-Up
2009,Tufanganj,Alipurduars,Others,32088.0,Others
2011,TUFANGANJ,Alipurduars,AITC,73721.0,Winner
