AC_No,AC_Name,PC_Name,Winner_Party,Winner_Votes,Runner_Votes,Runner_Party,Total_Votes,Year,Election_Type,Margin_Votes,Margin_Percent
1.0,Mekliganj,Jalpaiguri,CPM,64852.0,53748.0,INC,133901.0,2009,Lok Sabha,11104.0,8.29269385590847
1.0,MEKLIGANJ,Jalpaiguri,AIFB,72040.0,39408.0,INC,147357.0,2011,Vidhan Sabha,32632.0,22.144859083721848
1.0,Mekliganj,Jalpaiguri,CPM,62952.0,60897.0,AITC,162049.0,2014,Lok Sabha,2055.0,1.268134946837068
1.0,MEKLIGANJ,Jalpaiguri,AITC,74823.0,68186.0,AIFB,180960.0,2016,Vidhan Sabha,6637.0,3.667661361626879
1.0,Mekliganj,Jalpaiguri,BJP,87140.0,82435.0,AITC,189043.0,2019,Lok Sabha,4705.0,2.4888517427252
1.0,MEKLIGANJ,Jalpaiguri,AITC,99338.0,84653.0,BJP,198744.0,2021,Vidhan Sabha,14685.0,7.388902306484724
1.0,Mekliganj,Jalpaiguri,AITC,94842.0,92024.0,BJP,198294.0,2024,Lok Sabha,2818.0,1.421122172128254
2.0,Mathabhanga,Cooch behar,AITC,66876.0,65458.0,AIFB,153185.0,2009,Lok Sabha,1418.0,0.9256781016418056
2.0,MATHABHANGA,Coochbehar,AITC,78249.0,72925.0,CPM,168434.0,2011,Vidhan Sabha,5324.0,3.160882007195697
2.0,Mathabhanga,Cooch behar,AITC,77337.0,58026.0,AIFB,182611.0,2014,Lok Sabha,19311.0,10.574937982925453
2.0,MATHABHANGA,Coochbehar,AITC,96383.0,64465.0,CPM,200385.0,2016,Vidhan Sabha,31918.0,15.928337949447313
2.0,Mathabhanga,Cooch behar,BJP,107063.0,86188.0,AITC,207363.0,2019,Lok Sabha,20875.0,10.066887535384808
2.0,MATHABHANGA,Coochbehar,BJP,113249.0,87115.0,AITC,214203.0,2021,Vidhan Sabha,26134.0,12.200576089037035
2.0,Mathabhanga,Coochbehar,BJP,110612.0,99974.0,AITC,219757.0,2024,Lok Sabha,10638.0,4.84080143067115
3.0,Cooch behar Uttar,Cooch behar,AIFB,73934.0,69057.0,AITC,171607.0,2009,Lok Sabha,4877.0,2.8419586613599677
3.0,COOCH BEHAR UTTAR,Coochbehar,AIFB,84825.0,82628.0,AITC,188032.0,2011,Vidhan Sabha,2197.0,1.1684181415929205
3.0,Cooch Behar Uttar,Cooch behar,AITC,71737.0,69834.0,AIFB,205301.0,2014,Lok Sabha,1903.0,0.9269316759294889
3.0,COOCH BEHAR UTTAR,Coochbehar,AIFB,97629.0,85336.0,AITC,223771.0,2016,Vidhan Sabha,12293.0,5.493562615352302
3.0,COOCHBEHAR UTTAR,Cooch behar,BJP,118606.0,91380.0,AITC,231321.0,2019,Lok Sabha,27226.0,11.769791761232227
3.0,COOCH BEHAR UTTAR,Coochbehar,BJP,120483.0,105868.0,AITC,243916.0,2021,Vidhan Sabha,14615.0,5.991816854982863
3.0,COOCHBEHAR UTTAR,Coochbehar,BJP,123859.0,105870.0,AITC,242701.0,2024,Lok Sabha,17989.0,7.412000774615679
4.0,Cooch behar Dakshin,Cooch behar,AIFB,60893.0,55631.0,AITC,136720.0,2009,Lok Sabha,5262.0,3.8487419543592742
4.0,COOCH BEHAR DAKSHIN,Coochbehar,AIFB,72028.0,69165.0,AITC,153115.0,2011,Vidhan Sabha,2863.0,1.8698363974790193
4.0,Cooch Behar Dakshin,Cooch behar,AITC,61737.0,51689.0,AIFB,160880.0,2014,Lok Sabha,10048.0,6.245648930880159
4.0,COOCH BEHAR DAKSHIN,Coochbehar,AITC,82849.0,64654.0,AIFB,179173.0,2016,Vidhan Sabha,18195.0,10.15498987012552
4.0,Cooch Behar Dakshin,Cooch behar,BJP,86431.0,80410.0,AITC,182755.0,2019,Lok Sabha,6021.0,3.2945747038384723
4.0,COOCH BEHAR DAKSHIN,Coochbehar,BJP,91560.0,86629.0,AITC,195505.0,2021,Vidhan Sabha,4931.0,2.522186133346973
